location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,5,6,6
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,5,6,7
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,5,6,8
Albemarle HS,38.07657,-78.50397,o3,0.016,ppm,2020,5,6,10
Albemarle HS,38.07657,-78.50397,o3,0.016,ppm,2020,5,6,11
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,5,6,12
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,5,6,13
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,6,14
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,6,15
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,6,16
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,6,17
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,6,19
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,6,20
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,6,21
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,6,22
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,6,23
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,7,0
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,8,1
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,8,2
Albemarle HS,38.07657,-78.50397,o3,0.052,ppm,2020,5,8,3
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,5,8,4
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,8,5
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,8,6
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,8,7
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,8,8
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,8,9
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,8,10
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,8,11
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,8,12
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,8,13
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,8,14
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,8,15
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,8,16
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,8,18
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,8,19
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,8,20
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,8,21
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,8,22
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,8,23
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,9,0
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,9,1
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,9,2
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,9,3
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,9,4
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,9,5
